Date Made Public,Name & Location,type,Number of Records
10/31/2006,"Avaya (theft occurred in Maitland, FL, office of company, headquartered in Basking Ridge, NJ)","A laptop stolen from an Avaya employee on October 16 in Florida contained personally identifiable information, including names, addresses, W-2 tax form information and SSNs.",Unknown
11/6/2009,"Home Finance Mortgage, Inc. (Cornelius, NC)","Company dumped files containing names, addresses, Social Security numbers, credit card numbers, and bank account numbers of people who had applied for mortgage loans. Home Finance and its owners have agreed to pay the State of NC $3,000 for their violations.ÿ",Unknown
11/1/2006,"U.S. Army Cadet Command (Fort Monroe, VA) 1-866-423-4474 Email: mydata@ usaac.army.mil","A laptop computer was stolen that contained the names, addresses, telephone numbers, birthdates, Social Security numbers, parent names, and mother's maiden names of applicants for the Army's four-year ROTC college scholarship.","4,600 high school seniors"
11/2/2006,"Colorado Dept. of Human Services via Affiliated Computer Services (ACS) (Dallas, TX) For questions, call ACS at (800) 350-0399","On Oct. 14, a desktop computer was stolen from a state contractor who processes Colorado child support payments for the Dept. of Human Services. Computer also contained the state's Directory of New Hires. UPDATE (12/07/2006) When initially posted to this list, the number 1.4 million was not added to the total because we could not confirm if SSNs were exposed. The PRC was contacted by an affected individual today who confirmed that names, addresses, SSNs and dates of birth were exposed.",Up to 1.4 million
11/2/2006,"Greater Media, Inc. (Philadelphia, PA)",A laptop computer containing the Social Security numbers of the radio broadcasting company's current and former employees was stolen from their Philadelphia offices.,Unknown
11/2/2006,"McAlester Clinic and Veteran's Affairs Medical Center (Muskogee, OK)","Three disks containing billing information, patient names and Social Security numbers, were lost in the mail.","1,400 veterans"
11/2/2006,"Intermountain Health Care (Salt Lake City, UT)","A computer was purchased at a second-hand store, Deseret Industries, that contained the names, Social Security numbers, employment records, and other personal information about Intermountain Health Care employees employed there in 1999-2000.","6,244"
11/2/2006,"Compulinx (White Plains, NY)","The CEO of Compulinx was arrested for fraudulently using employees' names, addresses, Social Security numbers and other personal information for credit purposes. (It is unclear whether customers' data was also used).",Up to 50 Compulinx employees
11/3/2006,"University of Virginia (Charlottesville, VA)","Due to a computer programming error, Student Financial Services sent e-mail messages to students containing 632 other students' Social Security numbers.",632 students
11/3/2006,"Wesco (Muskegon, MI)",Wesco gas stations experienced a breach in credit card transactions from July 25-Sept. 7 resulting in inaccurate charges to customer accounts.,Unknown
11/3/2006,"Starbucks Corp. (Seattle, WA) 1-800-453-1048","Starbucks lost track of four laptop computers. Two held employee names, addresses, and Social Security numbers.","60,000 current and former U.S. employees and about 80 Canadian workers and contractors"
11/3/2006,"Several Joliet area motels (Joliet, IL)",Motel owners and employees allegedly stole and sold customers' credit card numbers.,Unknown
11/7/2006,"City of Lubbock (Lubbock, TX)","Hackers broke into the city's web site and compromised the online job application database, which included Social Security numbers.","5,800"
11/9/2006,"Four ARCO gas stations (Costa Mesa, CA) (Westminster, CA) (Torrance, CA)","From Sept. 29 to Oct. 9, thieves used card skimmers to steal bank account numbers and PIN codes from gas station customers and used the information to fabricate debit cards and make ATM withdrawals.",At least 440
11/10/2006,"KSL Services, Inc. (Los Alamos, NM)","A disk containing the personal information of approximately 1,000 KSL employees is missing. KSL is a contractor for Los Alamos National Laboratory.","Approximately 1,000"
11/13/2006,"Connors State College (Warner, OK) (918) 463-6267 perline@ connorsstate.edu","On Oct. 15, a laptop computer was discovered stolen from the college. (It has since been recovered by law enforcement). The computer contains Social Security numbers and other data for Connors students plus 22,500 high school graduates who qualify for the Oklahoma Higher Learning Access Program scholarships.","Considerably more than 22,500"
11/15/2006,"Internal Revenue Service (Washington, DC)","According to document s obtained under the Freedom of Information Act, 478 laptops were either lost or stolen from the IRS between 2002 and 2006. 112 of the computers held sensitive taxpayer information such as SSNs. UPDATE (04/05/07): A report by the Treasury Inspector General for Tax Administration noted that at least 490 IRS computers have been stolen or lost since 2003 in 387 security breach incidents that potentially jeopardized tax payers' personal information. UPDATE (04/17/07): The Inspector General's assessment of 20 buildings in 10 cities discovered four separate locations at which hackers could have easily gained access to IRS computers and taxpayer data using wireless technology.","2,359"
11/16/2006,"American Cancer Society (Louisville , KY, offices, HQ in Atlanta , GA) If you have tips, call (502) 574-5673","An unspecified number of laptop computers were stolen from the Louisville offices of the American Cancer Society. It is not clear what personal information was exposed, if any.",Unknown
11/16/2006,"Carson City residents (Carson City, NV)","The Sheriff's Department reported that at least 50 residents had their credit card information stolen by employees of local businesses. The employees apparently sell the account information to international crime rings that produce counterfeit cards. The crime is called ""skimming.""",50
11/17/2006,"Jefferson College of Health Sciences (Roanoke, VA)",An email containing the names and SSNs of 143 students intended for one employee was inadvertently sent to the entire student body of 900.,143
11/17/2006,"Automatic Data Processing (ADP) (Roseland , NJ)","ADP sent paperwork for a small Wisconsin company to a Cordova, TN coffee house. The paperwork contained names, birth dates, SSNs, addresses, salaries, and bank account and routing numbers",Unknown
11/20/2006,"Administration for Children's Services (New York , NY)","More than 200 case files from the Emergency Children's Services Unit of ACS were found on the street in a plastic garbage bag. The files contain sensitive information of families, social workers and police officers.",200 case files (not included in Total because it is not clear if SSNs were exposed)
11/25/2006,"Indiana State Department of Health via Family Health Center of Clark County (Jeffersonville, IN)","Two computers stolen from an Indiana state health department contractor contained the names, addresses, birth dates, SSNs and medical and billing information for more than 7,500 women. The data were collected as part of the state's Breast and Cervical Cancer Program.","7,700"
11/27/2006,"Johnston County, NC","Personal data, including SSNs, of thousands of taxpayers, were inadvertently posted on the county web site. The information was removed from the site within an hour after officials became aware of the situation.",Unknown
11/27/2006,"Greenville County School District (Greenville, SC)","School district computers sold to the WH Group at auctions between 1999 and early 2006 contained the birth dates, SSNs, driver's license numbers and Department of Juvenile Justice records of approximately 100,000 students. The computers also held sensitive data for more than 1,000 school district employees. UPDATE (12/10/06): A judge ordered the WH Group to return the computers and the confidential data on them to the school district.","At least 101,000 students and employees"
4/28/2007,"Couriers on Demand (Dallas, TX)",Personal information of job applicants was accidentally published to the Internet.,"""Hundreds"""
11/27/2006,"Chicago Public Schools via All Printing & Graphics, Inc. (Chicago, IL)","A company hired to print and mail health insurance information to former Chicago Public School employees mistakenly included a list of the names, addresses and SSNs of the nearly 1,740 people receiving the mailing. Each received the 125-page list of the 1,740 former employees.","1,740 former Chicago Public School employees"
11/28/2006,"Kaiser Permanente Colorado -- its Skyline and Southwest offices (Denver, CO) For members who have questions: (866) 529-0813.","A laptop was stolen from the personal car of a Kaiser employee in California on Oct. 4. It contained names, Kaiser ID number, date of birth, gender, and physician information. The data did not include SSNs.","38,000 (not included in total, because SSNs were apparently not exposed)"
11/28/2006,"Cal State Los Angeles, Charter College of Education (Los Angeles, CA) (800) 883-4029","An employee's USB drive was inside a purse stolen from a car trunk. It contained personal information on 48 faculty members and more than 2,500 students and applicants of a teacher credentialing program. Information included names, SSNs, campus ID numbers, phone numbers, and e-mail addresses.","2,534"
11/30/2006,"Pennsylvania Dept. of Transportation (Hanover township driver's license facility, Dunmore, PA) Affected individuals can call (800) PENNDOT if you have questions. Call PA Crimestoppers if you have tips, (800) 4PATIPS, reward offered.","Thieves stole equipment from a driver's license facility late evening Nov. 28, including computers containing personal information on more than 11,000 people. Information included names, addresses, dates of birth, driver's license numbers and both partial and complete SSNs (complete SSNs for 5,348 people). Also stolen were supplies used to create drivers licenses and photo IDs. The state maintains 97 driver's license facilities.","11,384"
11/30/2006,"TransUnion Credit Bureau via Kingman, AZ, court office","Four different scam companies downloaded the credit information of more than 1,700 individuals, including their credit histories and SSNs. They were able to illegitimately obtain the password to the TransUnion account held by the Kingman, AZ, court office, which apparently has a subscription to the bureau's services.","""more than 1,700 people"""
12/1/2006,"TD Ameritrade (Bellevue, NE) (201) 369-8373","According to a letter sent to employees, a laptop was removed (presumably stolen) from the office Oct. 18, 2006, that contained unencrypted information including names, addresses, birthdates, and SSNs.",about 300 current and former employees
12/2/2006,"Gundersen Lutheran Medical Center (LaCrosse, WI)","A Medical Center employee used patient information, including SSNs and dates of birth, to apply for credit cards in their names. As patient liaison, her duties included insurance coverage, registration, and scheduling appointments. She was arrested for 37 counts of identity theft, and was convicted of identity theft and uttering forged writing, according to the criminal complaint.",unknown
12/3/2006,"City of Grand Prairie (Grand Prairie, TX)","Employees of the city of Grand Prairie were notified that personal records were exposed on the city's Web site for at least a year. Included were the names and SSNs of ""hundreds of employees."" The information has since been removed. The city had been working with a contractor on a proposal for workers' compensation insurance. Along with the proposal, names and SSNs were mistakenly listed.","""hundreds of employees"""
12/5/2006,"Army National Guard 130th Airlift Wing (Charleston, WV)","A laptop was stolen from a member of the unit while he was attending a training course. It contained names, SSNs, and birth dates of everyone in the 130th Airlift Wing.",Unknown
12/5/2006,"Nassau Community College (Garden City, NY)","A printout is missing that contans information about each of NCC's 21,000 students, including names, SSNs, addresses, and phone numbers. It disappeared from a desk in the Student Activities Office.","21,000 students"
12/5/2006,H&R Block,Many past and present customers received unsolicited copies of the program TaxCut that displayed their SSN on the outside.,Unknown
12/6/2006,"Premier Bank (Columbia, MO, with HQ in Jefferson City, MO)","A report was stolen the evening of Nov. 16 from the car of the bank's VP and CFO while employees were celebrating an award received by the bank. The document contained names and account numbers of customers, but reportedly no SSNs.","1,800 customers"
12/8/2006,"Segal Group of New York, via web site of Vermont state agency used to call for bids on state contracts (Montpelier, VT)","Names and SSNs of ""several hundred"" physicians, psychologists and other health care providers were mistakenly posted online by Segal Group, a contractor hired by the state to put its health management contract out for bid. The information was posted from May 12 to June 19. It was discovered when a doctor found her own SSN online.","""several hundred, likely more"" health care providers UPDATE (1/14/07): SSNS of ""more than 1,100 doctors, psychothereapists and other health professionals"" were exposed."
12/9/2006,"Virginia Commonwealth University (Richmond, VA)","Personal information of 561 students was inadvertently sent as attachments on Nov. 20 in an e-mail, including names, SSNs, local and permanent addresses and grade-point averages. The e-mail was sent to 195 students to inform them of their eligibility for scholarships.",561 students
12/12/2006,"University of California - Los Angeles (Los Angeles, CA) Affected individuals can call UCLA at (877) 533-8082. www.identityalert. ucla.edu","Hacker(s) gained access to a UCLA database containing personal information on current and former students, current and former faculty and staff, parents of financial aid applicants, and student applicants, including those who did not attend. Exposed records contained names, SSNs, birth dates, home addresses, and contact information. About 3,200 of those notified are current or former staff and faculty of UC Merced and current and former staff of UC's Oakland headquarters.","800,000"
12/12/2006,"University of Texas - Dallas (Dallas, TX) Affected individuals can call (972) 883-4325 www.utdallas.edu/ datacompromise/ form.html","The University discovered that personal information of current and former students, faculty members, and staff may have been exposed by a computer network intrusion -- including names, SSNs, home addresses, phone numbers and e-mail addresses. UPDATE (12/14/06): The number of people affected was first thought to be 5,000, but was increased to 6,000. UPDATE (01/19/07): Officials now say 35,000 individuals may have been exposed.","35,000 current and former students, faculty, staff, and others"
12/12/2006,"Aetna / Nationwide / Wellpoint Group Health Plans via Concentra Preferred Systems (Dayton, OH)","A lockbox holding personal information of health insurance customers was stolen Oct. 26. Thieves broke into an office building occupied by insurance company vendor, Concentra Preferred Systems. The lockbox contained computer backup tapes of medical claim data for Aetna and other Concentra health plan clients. Exposed data includes member names, hospital codes, and either SSNs or Aetna member ID numbers. SSNs of 750 medical professionals were also exposed. Officials downplay the risk by stating that the tapes cannot be used on a standard PC. UPDATE (12/23/06): The lockbox also contained tapes with personal information of 42,000 NY employees insured by Group Health Insurance Inc.) UPDATE (1/24/07): Personal data of 28,279 Nationwide's Ohio customers were also compromised.","130,000 plus 42,000 reportedlater plus 28,279 reported later"
12/13/2006,"Boeing (Seattle, WA)","In early December, a laptop was stolen from an employee's car. Files contained names, salary information, SSNs, home addresses, phone numbers and dates of birth of current and former employees. UPDATE (12/14/06): Boeing fired the employee whose laptop was stolen. UPDATE (1/26/07): The laptop was recovered.","382,000 current and former employees"
12/14/2006,"Electronic Registry Systems affecting Emory University (Emory Hospital, Emory Crawford Long Hospital, Grady Memorial Hospital), Geisinger Health System (Pennyslvania), Williamson Medical Center (Nashville, TN)","On Nov. 23, 2006, two computers (one desktop, one laptop) were stolen from Electronic Registry Systems, a business contractor in suburban Springdale, OH, that provides cancer patient registry data processing services. It contained the personal information (name, date of birth, Social Security number, address, medical record number, medical data and treatment information) of cancer patients from hospitals in Pennsylvania , Tennessee , Ohio and Georgia , dating back to 1977 at some hospitals. UPDATE (1/14/07): The number of affected patients was increased from 25,000 to 63,000.","More than 63,000 patients"
12/14/2006,"Riverside High School (Durham, NC)",Two students discovered a breach in the security of a Durham Public Schools computer as part of a class assignment. They reported to school officials that they were able to access a database containing SSNs and other personal information of thousands of school employees. The home of one student was searched by Sheriff's deputies and the family computer was seized.,"""thousands of school employees"""
12/14/2006,"St. Vrain Valley School District (Longmont, CO)","Paper records containing student information were stolen, along with a laptop, from a nurse's car Nov. 20. Personal information included students' names, dates of birth, names of their schools, what grade they are in, their Medicaid numbers (presumably SSNs), and their parents' names. The laptop contained no personal data.",600 students
12/14/2006,"Bank of America (Charlotte, NC)","A former contractor for Bank of America unauthorizedly accessed the personal information (name, address, phone number, Social Security number) of an undisclosed number of customers, for the purpose of committing fraud.",Unknown
12/15/2006,"University of Colorado - Boulder, Academic Advising Center (Boulder, CO) www.colorado.edu","A server in the Academic Advising Center was the subject of a hacking attack. Personal information exposed included names and SSNs for individuals who attended orientation sessions from 2002-2004. CU-Boulder has since ceased using SSNs as identifiers for students, faculty, staff, and administrators.","17,500"
12/15/2006,"City of Wickliffe (Wickliffe, OH)","Hackers breached security in one of the city's three computer servers containing personal information on some city employees, including names and SSNs.",125 employees
12/19/2006,"Mississippi State University (Jackson, MS)","SSNs and other personal information were ""inadvertently"" posted on a publicly accessible MSU Web site. The breach was discovered ""last week"" and the information has since been removed.","2,400 students and emplolyees"
12/20/2006,"Lakeland Library Cooperative - serving 80 libraries in 8 counties (Grand Rapids, MI)","Personal information of 15,000 library users in West Michigan was displayed on the Cooperative's Web site due to a technical problem. Information exposed included names, phone numbers, e-mail addresses, street addresses, and library card numbers. Children's names were also listed along with their parents' names on a spreadsheet document. The information has since been removed.","15,000 library users"
12/20/2006,"Big Foot High School (Walworth, WI)","Personal information was accidentally exposed on the High School's Web site for a short time, perhaps for about 36 minutes, according to a report. Information included last names, SSNs, and birthdates.",87 current and former employees
12/20/2006,"Lake County residents, plus Major League Baseball players (Northbrook, IL)","A Chicago man apparently removed documents from a trash bin outside SFX Baseball Inc., a sports agency that deals with Major League Baseball. He used information found on those documents to commit identity theft on at least 27 Lake County residents. Information found during a search of the thief's home included SSNs, birthdates, canceled paychecks, obituaries, and infant death records.",27 residents of Lake County plus about 90 current and retired Major League Baseball players for a total of 117 individuals
12/20/2006,"Deb Shops, Inc. (Philadelphia, PA) (800) 460-9704",A hacker illegally accessed company Web pages and a related data base used for Internet-based purchases. The intruder may have accessed customers' credit card information including names on cards and credit card numbers.,Unknown
12/21/2006,"Santa Clara County employment agency (Santa Clara County, CA)","A computer stolen from the agency holds the SSNs of approximately 2,500 individuals.","2,500"
12/22/2006,"Texas Woman's University (Dallas, Denton, and Houston, TX)","A document containing names, addresses and SSNs of 15,000 TWU students was transmitted over a non-secure connection.","15,000 students"
12/27/2006,"Montana State University (Bozeman, MT)","A student working in the loan office mistakenly sent packets containing lists of student names, Social Security numbers, and loan information to other students",259 students
12/28/2006,U.S. State Department,"A bag containing approximately 700 completed passport applications was reported missing on December 1. The bag, which was supposed to be shipped to Charlotte, NC, was found later in the month at Los Angeles International Airport.",700 (not included in total)
12/30/2006,"KeyCorp (Cleveland, OH)","A laptop computer stolen from a KeyCorp vendor contains personally identifiable information, including SSNs, of 9,300 customers in six states.","9,300"
1/1/2007,"Wisconsin Dept. of Revenue via Ripon Printers (Madison, WI) (608) 224-5163 www.privacy.wi.gov",Tax forms were mailed to taxpayers in which SSNs were inadvertently printed on the front of some Form 1 booklets. Some were retrieved before they were mailed.,"171,000 taxpayers"
1/2/2007,"Deaconess Hospital (Evansville, IN)","A computer missing from the hospital holds personal information, including SSNs, of 128 respiratory therapy patients.",128 patients
1/2/2007,"Notre Dame University (Notre Dame, IN, South Bend, IN)","A University Director's laptop was stolen before Christmas. It contained personal information of employees, including names, SSNs, and salary information.",Unknown
1/2/2007,"News accounts are not clear as to source, but thought to be a realty office (Las Vegas, NV)","About 40 boxes of financial paperwork, thought to be from loan applications, was found in a dumpster. One of the boxes visible to news reporters was said to contain paperwork with bank account details, photocopies of driver's licenses, SSNs and ""other private information.""",Unknown
1/4/2007,"Selma, NC, Water Treatment Plant (Johnston County, NC)",A laptop stolen from the water treatment facility holds the names and SSNs of Selma volunteer firefighters.,Unknown
1/4/2007,"Unnamed medical center, via Newark Recycling Center (Stockton, CA)",An individual found unshredded medical records in 36 boxes at the Newark Recycling Center.,Unknown
1/5/2007,"Dr. Baceski's office, internal medicine (Somerset, PA)","A hard drive was stolen containing personal information on ""hundreds of patients.""","""hundreds of patients"""
1/9/2007,"Altria, the parent company of Philip Morris (Kraft Foods), also United Technologies, via benefits consultant, Towers Perrin. (New York, NY)","5 laptops were stolen from Towers Perrin, allegedly by a former employee. The theft occurred Nov. 27, 2006. The computers contain names, SSNs, and other pension-related information, presumably of several companies, although news reports are not clear. UPDATE (1/11/07): NY police arrested ""a junior-level administrative employee"" of the company in the theft of the laptops.","18,000 past and present employees, presumably of Altria (total number of affected invididuals is unknown)"
1/10/2007,"University of Arizona (Tucson, AZ)","Breaches occurred in November and December 2006 that affected services with UA Student Unions, University Library, and UA Procurement and Contracting Services. Some services were shut down for several days.",Unknown
1/11/2007,"University of Idaho, Advancement Services office (Moscow, ID) (866) 351-1860 www.identityalert. uidaho.edu","Over Thanksgiving weekend, 3 desktop computers were stolen from the Advancement Services office containing personal information of alumni, donors, employees, and students. 331,000 individuals may have been exposed, with as many as 70,000 records containing SSNs, names and addresses.","70,000"
1/12/2007,"MoneyGram International (Minneapolis, MN)","MoneyGram, a payment service provider, reported that a company server was unlawfully accessed over the Internet last month. It contained information on about 79,000 bill payment customers, including names, addresses, phone numbers, and in some cases, bank account numbers.","79,000"
1/13/2007,"North Carolina Dept. of Revenue (Raleigh, NC)","A laptop computer containing taxpayer data was stolen from the car of a NC Dept. of Revenue employee in mid-December. The files included names, SSNs or federal employer ID numbers , and tax debt owed to the state.","30,000 taxpayers"
1/16/2007,"University of New Mexico (Albuquerque, NM)",At least 3 computers and 4 monitors were stolen from the associate provost's office overnight between Jan. 2 and 3. They may have included faculty members' names and SSNs.,Unknown
1/17/2007,"TJ stores (TJX), including TJMaxx, Marshalls, Winners, HomeSense, AJWright, TKMaxx, and possibly Bob's Stores in U.S. & Puerto Rico -- Winners and HomeGoods stores in Canada -- and possibly TKMaxx stores in UK and Ireland (Framingham, Mass.) U.S.: Call (866) 484-6978 Canada: (866) 903-1408 U.K. & Ireland: 0800 77 90 15 www.tjx.com","The TJX Companies Inc.experienced an ""unauthorized intrusion"" into its computer systems that process and store customer transactions including credit card, debit card, check, and merchandise return transactions. It discovered the intrusion mid-December 2006. Transaction data from 2003 as well as mid-May through December 2006 may have been accessed. According to its Web site, TJX is ""the leading off-price retailer of apparel and home fashions in the U.S. and worldwide."" UPDATE (2/22/07): TJX said that while it first thought the intrusion took place from May 2006 to January 2007, it now thinks its computer system was also hacked in July 2005 and on ""various subsequent dates"" that year. UPDATE (3/21/07): Information stolen from TJX's systems was being used fraudulently in November 2006 in an $8 million gift card scheme, one month before TJX officials said they learned of the breach, according to Florida law enforcement officials. UPDATE (3/29/07): The company reported in its SEC filing that 45.7 million credit and debit card numbers were hacked, along with 455,000 merchandise return records containing customers' driver's license numbers, Military ID numbers or Social Security numbers. UPDATE (4/22/07): Initially, TJX said the break-in started seven months before it was discovered. Then, on Feb. 18, the company noted the perpetrators had access to data for 17 months, and apparently began in July 2005. UPDATE (04/26/07): Three states' banking associations (MA, CT, and ME) filed a class action lawsuit against TJX to recover the costs of damages totaling ""tens of millions of dollars"" incurred for replacing customers' debit and credit cards. UPDATE (05/04/07): An article in the WSJ notes that because TJX had an outdated wireless security encryption system, had failed to install firewalls and data encryption on computers using the wireless network, and had not properly install another layer of security software it had bought, thieves were able to access data streaming between hand-held price-checking devices, cash registers and the store's computers. 21 U.S. and Canadian lawsuits seek damages from the retailer for reissuing compromised cards. UPDATE (07/10/07): U.S. Secret Service agents found TJX customers' credit card numbers in the hands of Eastern European cyber thieves who created high-quality counterfeit credit cards. Victims are from the U.S., Europe, Asia and Canada, among other places, Several Cuban nationals in Florida were arrested with more than 200,000 credit card account numbers. UPDATE (08/31/07): The U.S. Secret Service Agency earlier this week said it has arrested and indicted four members of an organized fraud ring in South Florida, charging each of them with aggravated identity theft, counterfeit credit-card trafficking, and conspiracy. UPDATE (09/21/07): A ring leader in the TJX Cos.-linked credit card fraud, was sentenced to five years in prison and has been ordered to pay nearly $600,000 in restitution for damages resulting from stolen financial information. UPDATE (09/25/07): TJX announced the terms of a settlement for customers affected by the data breach -- with strings attached. Credit monitoring will be offered to about 455,000 of the 46 million affected. TJX will reimburse customers who had to replace driver's licenses as a result of the breach if they submit documentation for the time and money spent on replacing licenses. The company will give a $30 store voucher to those customers who submit documentation about their lost time and money. And TJX will hold a special 3-day sale with a 15% discount sometime in 2008. The settlement still needs to be approved by the court. UPDATE (10/23/07): Court filings in a case brought by banks against TJX say the number of accounts affected by the thefts topped 94 million. UPDATE (10/23/07): The total number of records increased from 167 million to 215 million. Recent court filings in a case brought by banks against TJX say the number of accounts affected by the thefts topped 94 million, up considerably from 45,7 million credit and debit card account numbers initially thought to be compromised. Breach costs have been estimated at $216 million. UPDATE (11/30/07): Fifth Third Bancorp, the Ohio bank that was fined $880,000 by Visa for its role in the customer data security breach at TJX Cos., the largest ever, also paid fines and compensation totaling $1.4 million following the loss of data from BJ's Wholesale Club Inc. UPDATE (12/05/07): An InternetNews.com article estimates TJX expenses at $500 million to $1 billion. In a settlement with VISA USA, TJX will pay a maximum of $40.9 million to fund an alternative recovery payments program for customers affected by the breach. At least 19 lawsuits have been filed, and there are investigations underway by the Federal Trade Commission and 37 state Attorneys General. UPDATE (12/18/07): TJX has settled the lawsuit for an undisclosed amount.Although both sides said the settlement total would remain confidential, TJX said the costs were covered by a $107 million reserve that it set aside against its second-quarter earnings.TJX also has said that $107 million would cover the costs of another breach agreement: a Nov. 30 deal with Visa Inc. to help pay a maximum $40.9 million to help the network's card-issuing banks recover expenses to replace customers' Visa cards. UPDATE (2/10/08): Notices are going out to millions of customers who may have had credit card information compromised in a data breach. The notices contain information about eligibility for compensation such as vouchers and credit monitoring to be provided under a proposed settlement. UPDATE (4/2/08): TJX Cos. reached a settlement with MasterCard Inc. in which it will pay up to $24 million to banks and other institutions to cover fraud losses stemming from a massive data breach disclosed last year. They also struck a similar deal with rival card network Visa in which it agreed to pay up to $40.9 million. As in that deal, TJX said the costs of its MasterCard settlement are included in the $256 million the company has set aside to pay for computer work and other costs associated with the breach. UPDATE (5/14/08): The TJX Companies, Inc. today announced that it completed its previously announced settlement with MasterCard International Incorporated and its issuers. Financial institutions representing 99.5% of eligible MasterCard accounts worldwide claimed to have been affected by the unauthorized computer intrusion(s) at TJX accepted the alternative recovery offer under TJX's previously announced Settlement Agreement with MasterCard. UPDATE (8/5/08): Eleven perpetrators allegedly involved in the hacking of nine major U.S. retailers have been charged with numerous crimes, including conspiracy, computer intrusion, fraud and identity theft. This is the largest hacking and identity theft case ever prosecuted by the U.S. Department of Justice. An indictment was returned on Aug. 5, 2008. Conspirators obtained the credit and debit card numbers by ""wardriving"" and hacking into the wireless computer networks of major retailers -- including TJX Companies, BJ's Wholesale Club, OfficeMax, Boston Market, Barnes & Noble, Sports Authority, Forever 21 and DSW. The indictments are the result of a three-year undercover investigation conducted out of the San Diego Field Office of the U.S. Secret Service. UPDATE (8/30/08): TrustCo BankCorp NY sued TJX in August 2008 to recoup costs it incurred from reissuing an estimated 4,000 customer MasterCard debit cards after hackers accessed the TJX computer network. The bank stated its cost for the breach was up to $20 per affected account, explaining that it suffered losses from administrative expenses and lost interest and transaction fees. Later in the month, TJX in turn claimed that Trustco ""failed to implement policies or procedures"" that would have enabled the bank to avoid canceling and replacing customer debit cards. UPDATE (9/22/08):One of the 11 people arrested last month in connection with the massive data theft at T JX Companies Inc., BJ Wholesale Clubs Inc. and several other retailers pleaded guilty yesterday to four felony counts, including wire and credit card fraud and aggravated identity theft. Many of the Internet attacks that he facilitated were SQL injection attacks, according to court documents. The stolen data was sold to cybercriminals in Eastern Europe and the U.S. or used to make fraudulent credit and debit cards.","45,700,000 credit and debit card account numbers, 455,000 merchandise return records containing customer names and driver's license numbers. Recovery of about 200,000 stolen credit card account numbers. Latest records say an additional 48 million people have been affected for a total of more than 94 million. Breaches now seem to have affected over 100 million accounts."
1/17/2007,"Rincon del Diablo Municipal Water District (Escondido, CA, plus unincorporated neighborhoods outside the city, and parts of San Marcos and San Diego, CA) (760) 745-5522",2 computers were stolen from the district office. One included names and credit card numbers of customers.,500 customers
1/18/2007,"KB Home (Charleston, SC)","A computer was stolen from one of the home builder's offices. It likely contained names, addresses, and SSNs of people who had visited the sales office for Foxbank Plantation in Berkeley County near Charleston.","2,700"
1/19/2007,"U.S. Internal Revenue Service via City of Kansas City (Kansas City, MO)","26 IRS computer tapes containing taxpayer information were reported missing after they were delivered to City Hall. They potentially contain taxpayers' names, SSNs, bank account numbers, or employer information. The 26 tapes were the entire shipment received by the City last August. The disappearance was noticed late December 2006.",Unknown
1/22/2007,"U.S. Dept. of Veteran's Affairs (Seattle, WA)","Folders of veterans' personal information were stolen from a locked car in Bremerton, WA. News stories are not clear on the type of information contained in the folders.",Unknown
1/22/2007,"Chicago Board of Elections (Chicago, IL)",About 100 computer discs (CDs) with 1.3 million Chicago voters' SSNs were mistakenly distributed to aldermen and ward committeemen. CDs also contain birth dates and addresses.,1.3 million voters
1/23/2007,"Rutgers-Newark University, Political Science Dept. (Newark, NJ)","An associate professor's laptop was stolen, containing names and SSNs of 200 students. Rutgers no longers uses SSNs as student IDs, but student IDs from past years are still SSNs.",200 students
1/25/2007,"Clay High School (Oregon, OH)","A former high school student obtained sensitive staff and student information through an apparent security breach. The data was copied onto an iPod and included names, birth dates, SSNs, addresses, and phone numbers.",Unknown
1/25/2007,"Ohio Board of Nursing (Columbus, OH)",The agency's Web site posted names and SSNs of newly licensed nurses twice in the past 2 months. SSNs were supposed to have been removed before posting.,"3,031 newly licensed nurses"
1/25/2007,"Washiawa Women, Infants and Children program (WIC) (Honolulu, HI) (808) 586-8080 www.hawaii.gov","A WIC employee apparently stole the personal information of agency clients, including SSNs, and committed identity theft on at least 3 families and perhaps 2 more. The Health Director said the agency will no longer use SSNs in its data base.","11,500 current and former clients"
1/26/2007,"Indiana Dept. of Transportation (Indianapolis, IN)","The names and SSNs of INDOT employees were inadvertently posted on an internal network computer drive sometime between Sept. 6 and Dec. 4, 2006.","4,000 employees"
1/26/2007,"Vanguard University (Costa Mesa, CA) (800) 920-7312 www.identityalert. vanguard.edu","On Jan. 16, 2 computers were discovered stolen from the financial aid office. Data included names, SSNs, dates of birth, phone numbers, driver's license numbers, and lists of assets.","5,015 financial aid applicants for 2005-2006 and 2006-2007 school years"
1/26/2007,WellPoint's Anthem Blue Cross Blue Shield (Virginia) (800) 284-9779,Cassette tapes containing customer information were stolen from a lock box held by one of its vendors. Data included names and SSNs.,"196,000 customers"
1/26/2007,"Chase Bank and the former Bank One, now merged (Shreveport, LA)",A Bossier woman bought a used desk from a furniture store. She discovered a 165-page spread sheet in a drawer that included names and SSNs of bank employees. The document was returned to the bank.,"4,100 current and former employees ""from all over Louisiana"""
1/26/2007,"Eastern Illinois University (Charleston, IL)","A desktop computer was stolen from the Student Life office containing membership rosters -- including SSNs, birthdates, and addresses -- of the University's 23 fraternities and sororities. A hard drive and memory from 2 other computers were also stolen.","1,400 currently enrolled students"
